Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
巴林,BHR,人均 GDP（现价美元）,NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8537.929379,9269.269617,9446.158002,9421.285655,9590.683099,8706.725084,7041.56947,7555.066809,7958.679492,8030.85458,8528.983334,9055.591114,9082.741169,9698.134804,10130.41307,10376.93489,10544.66713,10672.18394,10076.18778,10401.48045,13636.34668,12868.211,13102.33457,14221.99259,15846.47641,17959.17854,19307.99549,20977.11053,23067.56535,19356.67236,20722.10389,22512.1596,23649.36661,24737.17178,24983.37902,22688.87824,22560.58127,23655.0356
巴哈马,BHS,人均 GDP（现价美元）,NY.GDP.PCAP.CD,1550.324315,1651.475477,1752.970293,1867.112988,1994.54492,2144.830971,2322.943853,2556.835301,2804.705131,3215.486672,3179.276272,3297.998999,3322.668256,3696.66314,3416.550062,3156.468059,3328.633192,3617.251193,4130.75087,5532.150831,6338.619868,6622.685658,7165.134491,7694.937985,8873.769102,9888.48935,10339.52102,11150.69004,11381.82156,12158.07885,12350.97684,11914.85776,11682.08496,11402.65152,11812.46489,12239.8715,12717.15001,22066.27871,23557.95353,26173.71548,27112.2562,27439.3587,28727.02219,28092.48573,28076.1551,29874.65414,30274.99032,31018.02949,30188.48444,28129.6075,27979.11493,27472.25617,28815.5274,28171.986,28671.34697,30483.8201,30260.30591,30762.01244
波斯尼亚和黑塞哥维那,BIH,人均 GDP（现价美元）,NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0200012,485.6172767,736.9753294,978.516728,1097.644555,1246.497114,1461.75052,1524.412022,1761.537647,2214.732246,2650.642661,2968.411806,3404.321698,4180.292176,5078.314577,4701.334426,4614.829041,5054.325344,4722.013403,5042.582213,5204.243718,4584.242548,4808.636043,5180.636301
白俄罗斯,BLR,人均 GDP（现价美元）,NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.840514,,,,1739.806395,1323.25115,1452.445488,1394.568168,1515.976717,1212.045978,1276.493985,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5176.26383,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5726.029673
伯利兹,BLZ,人均 GDP（现价美元）,NY.GDP.PCAP.CD,304.9171073,316.4036061,327.1268675,336.9414661,351.1611263,377.5943052,406.0979671,420.4318882,386.953237,396.6543063,435.6904694,474.4442162,519.5635077,605.9334407,786.069092,885.9845291,717.0401829,858.8280811,980.8225093,1074.271965,1350.97638,1307.211688,1183.168317,1212.922437,1315.272503,1268.182948,1343.708719,1586.450207,1758.942735,1979.35346,2202.322556,2326.845903,2666.977671,2833.061341,2880.211133,2996.382928,3001.665138,2952.602141,2991.924971,3065.492248,3364.423711,3419.275719,3556.561825,3679.909523,3831.538019,3933.332215,4187.37803,4324.876427,4470.220796,4258.788611,4344.150177,4517.137719,4673.791435,4685.249476,4844.981859,4950.256062,4960.181794,4905.506284
百慕大,BMU,人均 GDP（现价美元）,NY.GDP.PCAP.CD,1902.402119,1961.538169,2020.385965,2020.265248,2199.727007,2282.216546,2630.850466,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.30952,28669.68226,30900.69489,31476.06312,33989.72236,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,
玻利维亚,BOL,人均 GDP（现价美元）,NY.GDP.PCAP.CD,152.4618458,162.6957054,174.493386,184.275535,203.6011495,223.2783299,239.374916,255.8479664,210.1898901,218.5558012,225.7482986,238.1117003,267.6869789,263.210612,428.4328638,480.0507642,533.6275535,616.667074,702.4289173,808.4191206,811.7768958,1031.516161,958.6879039,909.847761,1013.800937,865.6901106,624.71542,672.565591,697.3705601,701.4646141,709.9488612,764.1413321,791.3804293,788.3990281,806.2214519,887.4685243,958.4737662,1006.964739,1058.71875,1012.509773,1007.002869,958.2366524,913.5756262,917.3643105,978.3346485,1046.427384,1233.594435,1389.637343,1736.935051,1776.866476,1981.160705,2377.675918,2645.227753,2947.938526,3124.00031,3077.026199,3117.330459,3393.955818
巴西,BRA,人均 GDP（现价美元）,NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,1447.730649,1641.457398,1510.286677,1611.047006,1922.851424,2076.570277,2293.733397,2901.285449,3093.037479,3966.795488,2591.797116,2786.171356,3494.640541,4740.119813,5156.809075,5271.412222,5075.631211,3469.502237,3739.116139,3146.948904,2819.64812,3059.586507,3623.049912,4770.183845,5860.145829,7313.557773,8787.610658,8553.381368,11224.15408,13167.47289,12291.46685,12216.90446,12026.61939,8750.222996,8639.365743,9821.407686
巴巴多斯,BRB,人均 GDP（现价美元）,NY.GDP.PCAP.CD,,,,,,,,,,,,,,,1805.828758,1933.721035,2083.968519,2354.173247,2615.821968,3157.183304,4035.803249,4426.282068,4610.886569,4882.627279,5307.385033,5539.048899,6061.95369,6652.554904,7050.774559,7769.007042,7770.815258,7681.981933,7440.957495,7777.554485,8148.382411,8537.056187,9069.168909,9549.894079,10727.59584,11200.57763,11567.66612,11513.93686,11675.34754,12028.48034,12868.78733,14223.25544,15439.99215,16381.49556,16613.71922,15922.90013,15959.02979,16610.41835,16536.21464,16326.91348,16261.79932,16129.04928,15891.62655,16788.68392
文莱达鲁萨兰国,BRN,人均 GDP（现价美元）,NY.GDP.PCAP.CD,,,,,,1113.402447,1237.079237,1235.892097,1363.453044,1303.739413,1381.972167,1455.308336,1906.192984,2915.266583,6921.436446,7226.430873,8459.324214,9914.123812,10711.86604,14941.0624,25412.99495,21821.79499,20687.39975,18123.85989,17332.97479,15694.53999,10211.59628,11591.78627,11006.87051,11869.98727,13604.15683,13901.72173,15270.48612,14572.10853,14117.39214,15929.16376,16789.03717,16656.08988,12690.68932,14097.93159,18008.44826,16468.12886,16846.02198,18555.56649,21896.60527,26102.13345,30980.96692,32672.36717,37951.2806,27965.47504,35268.10117,47017.0273,47651.25909,44597.27968,41530.66898,30967.89051,26939.41805,28290.5852
